season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2000,1,CHI,REG,MIN,27,41,290,2,0,2,-18,0,0,0,290,13,9.417456089745963,,0,25,153,1,0,0,10,9.060478076222353,0,27,39,290,2,2,1,0,0,13,8.932356037916973,0,0,32,6,10,3,6,1,1.0,2.0,1,1,2,4,0,0,0,0,1,1,0,0,0,5,45,6,1,12,7,175,2,2,0,0,49,1.0,0,1,0,1,0,0,0,0,0,0,0,0,29;49,,,78,0,0,3,3,0,0,1.0,0,0,0,0,0
2000,2,CHI,REG,TB,15,29,96,0,2,5,-47,1,1,5,96,5,-25.257226981817194,,0,22,116,0,0,0,4,0.757468314608559,0,15,28,96,0,1,1,5,0,5,-20.886488078640223,0,0,39,9,19,5,20,0,2.0,15.0,2,0,0,2,0,1,0,0,1,1,0,0,0,9,64,0,3,23,7,166,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,42,,0,42,0,0,0,0,0,,0,0,0,0,0
2000,3,CHI,REG,NYG,23,36,202,1,0,3,-22,0,0,0,202,10,-1.9522061724564992,,0,17,48,0,1,1,5,-10.525699505527774,0,23,35,202,1,0,0,0,0,10,3.27237527188845,0,0,59,10,10,3,18,1,2.0,14.0,2,0,0,2,0,0,0,0,0,1,1,1,0,2,30,5,2,20,3,68,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,49,,0,49,0,1,1,0,0,1.0,0,0,0,0,0
2000,4,CHI,REG,DET,21,35,261,1,3,1,-7,0,0,85,261,7,-4.236108288838295,,0,31,147,1,3,1,13,-0.17374115411075763,0,21,35,261,1,1,1,85,0,7,-6.723919495358132,0,0,41,16,16,3,13,0,3.0,13.0,3,1,0,7,0,1,0,0,3,6,0,0,0,9,78,3,4,30,4,63,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2000,5,CHI,REG,GB,11,20,203,2,0,5,-11,0,0,0,203,7,9.216601282581445,,0,36,178,1,1,0,6,-2.548136932118413,0,11,20,203,2,0,0,0,0,7,14.614035989613962,0,0,36,8,20,2,13,0,2.0,13.0,2,1,36,3,0,0,0,0,2,2,2,2,0,8,65,2,0,0,2,65,2,3,1,0,47,0.6666666666666666,1,0,0,1,0,0,0,0,0,1,0,0,19;47,42,,66,42,0,3,3,0,0,1.0,0,0,0,0,0
2000,6,CHI,REG,NO,18,37,202,0,3,5,-29,0,0,23,202,7,-21.844267021251166,,0,15,72,0,0,0,5,-2.342834960725181,0,18,37,202,0,0,0,23,0,7,-15.215013301929016,0,0,63,9,9,7,25,0,2.0,15.0,2,1,35,4,1,0,0,0,0,0,0,0,0,5,45,6,3,33,6,169,1,2,1,0,38,0.5,0,0,1,0,0,0,0,0,1,0,0,0,38,30,,38,30,0,1,1,0,0,1.0,0,0,0,0,0
2000,7,CHI,REG,MIN,19,33,210,1,0,2,-14,0,0,0,210,8,-1.0845929586793912,,0,26,98,1,0,0,8,0.006033618978224742,0,19,33,210,1,0,0,0,0,8,1.9571085979696679,0,0,43,5,5,5,25,1,3.0,21.0,3,0,0,5,0,1,0,0,1,1,1,1,0,8,53,4,3,29,5,92,1,1,0,0,22,1.0,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,1,1,0,0,1.0,0,0,0,0,0
2000,8,CHI,REG,PHI,20,43,177,0,1,3,-17,1,0,44,177,8,-8.189842452326745,,0,25,114,0,0,0,6,3.3197081852704287,0,20,40,177,0,0,0,44,0,8,-5.56759824371217,0,0,44,0,20,3,11,1,1.0,6.0,1,1,7,8,0,0,0,0,1,1,1,1,0,7,50,3,3,0,4,82,3,3,0,0,40,1.0,0,1,1,1,0,0,0,0,0,0,0,0,25;33;40,,,98,0,0,0,0,0,0,,0,0,0,0,0
2000,10,CHI,REG,IND,25,36,227,1,0,0,0,0,0,0,227,14,12.681556093495002,,0,35,143,1,0,0,6,-2.509219461167921,0,25,36,227,1,0,0,0,0,14,12.681556093495002,0,0,45,5,5,2,17,1,2.0,21.0,1,1,35,4,1,0,0,0,0,0,1,1,0,8,58,3,2,18,3,61,2,2,0,0,41,1.0,0,0,1,1,0,0,0,0,0,0,0,0,41;37,,,78,0,0,3,3,0,0,1.0,0,0,0,0,0
2000,11,CHI,REG,BUF,20,37,146,0,3,2,-11,1,1,32,146,8,-24.475917104282416,,0,21,99,0,0,0,3,-3.7664350986977957,0,20,33,146,0,0,0,32,0,8,-11.42054443230154,0,0,42,18,22,5,18,2,1.0,6.0,1,1,0,5,0,0,0,0,0,0,0,0,0,3,20,4,2,11,5,67,1,1,0,0,24,1.0,0,1,0,0,0,0,0,0,0,0,0,0,24,,,24,0,0,0,0,0,0,,0,0,0,0,0
2000,12,CHI,REG,TB,20,34,165,0,1,1,-5,0,0,19,165,9,-6.994822293424226,,0,28,83,0,0,0,5,-4.499634442618117,0,20,34,165,0,0,0,19,0,9,-5.157911515815362,0,0,49,5,5,8,41,1,4.0,31.0,4,2,57,4,1,0,0,0,0,0,1,1,0,4,25,1,0,0,3,80,2,3,1,0,48,0.6666666666666666,0,0,1,1,0,0,0,0,1,0,0,0,34;48,38,,82,38,0,1,1,0,0,1.0,0,0,0,0,0
2000,13,CHI,REG,NYJ,13,32,98,1,0,0,0,0,0,0,98,6,-11.28287530941369,,0,30,135,0,4,3,9,-6.1033291651983745,0,13,27,98,1,0,0,0,0,6,-7.657597157179303,0,0,29,21,21,4,9,0,0.0,0.0,0,1,21,6,0,0,0,0,1,1,0,0,0,5,29,3,3,45,3,90,1,1,0,0,39,1.0,0,0,1,0,0,0,0,0,0,0,0,0,39,,,39,0,0,1,1,0,0,1.0,0,0,0,0,0
